Album,Artist,Genre 1,Genre 2,Genre 3,User Submitted
Love Me Forever,Pinkshift,Post-Hardcore,Pop Punk,Emo Pop,owen
story,jizue,Nu Jazz,Post Rock,,Ultra
Facelift,Alice in Chains,Grunge,,,terry j
Gunfighter Ballads And Trail Songs,Marty Robbins,Country,,,jahquavious
77' Live,Les Rallizes Dénudés,Noise Rock,Psychedelic Rock,,z33p
When The Pawn...,Fiona Apple,Singer-Songwriter,Chamber Pop,,julia
Where We're From the Birds Sing a Pretty Song,Yasume,IDM,Ambient Techno,,Theo
Scenery,Ryo Fukui,Cool Jazz,,,DCDUKE
"There Are 1,000 of Me and Each One Is Disappointed",Unrecovery,Slowcore,Slacker Rock,Shoegaze,lego
Arca,Arca,Glitch Pop,Ambient Pop,IDM,terriyaki
asobi seksu,citrus,Shoegaze,Dream Pop,,corphish
Peripheral Vision,Turnover,Dream Pop,Indie Rock,,jwebb
There's a Riot Goin' On,Sly & The Family Stone,Funk,Psychedelic Soul,,zym
E. 1999 Eternal,Bone Thugs-N-Harmony,Hip Hop Soul,Horrorcore,Gangster Rap,Kaotic
Crush EP,Ravyn Lenae,Neo-Soul,Psychedelic Soul,,aliyah
By The Time I Get To Phoenix,Injury Reserve,Experimental Hip Hop,Industrial Hip Hop,,Swegify
Fool,"Lucie,Too",Power Pop,J-Rock,,gregory
Pixel Bath,Jean Dawson,Indie Pop,Pop Rap,,terriyaki
Ananas,JóiPé,Icelandic Hip Hop,,,Swegify
The Fragile Art Of Existence,Control Denied,Progressive Metal,,,Nate
The Burrprint: The Movie 3-D,Gucci Mane,Trap,Southern Hip Hop,,hobo
A Wizard / A True Star,Todd Rundgren,Art Rock,Experimental Rock,,owen
fishmonger,underscores,Hyperpop,Indie Pop,,oliver
TUBES,Mcbaise,Psychedelic Pop,,,Ultra
Electriclarryland,Butthole Surfers,Alternative Rock,,,BigToz
Idle Moments,Grant Green,Hard Bop,Cool Jazz,,z33p
The OOZ,King Krule,Art Rock,,,terry j
The ArchAndroid,Janelle Monáe,Contemporary R&B,,,Tomato
Guitar Music,Courting,Post Punk,Indie Rock,,jwebb
Creature,Ask My Bull,Prog Rock,Jazz Rock,,DCDUKE
Sawtooth,Jonny L,Drum and Bass,Jungle,,HondaS2000
FUN,Daniel Johnston,Indie Rock,Singer-Songwriter,,seraphiel
Chicago Transit Authority,Chicago,Jazz Rock,Progressive Pop,,Moonlit Warrior Ortvgal
Her Abiding Memory,Pitcher56,Shibuya-kei,J-rock,,gregory
A Scandinavian Thing,Peter Sandberg,Jazz,Piano Jazz,,*ant
Affable With Pointed Teeth,YUNGMORPHEUS,Hip Hop,,,Theo
Akuma No Uta,Boris,Stoner Metal,Noise Rock,,zym
SOS,SZA,Contemporary R&B,,,aliyah
スリーアウトチェンジ,Supercar,J-Rock,Power Pop,,Clock
Speak No Evil,Wayne Shorter,Hard Bop,Jazz,,gabriel
Bury the Hatchet,The Cranberries,Pop Rock,Dream Pop,,liv
Do You Want More?!!!??!,The Roots,Jazz Rap,East Coast Hip Hop,,Kaotic
Habits,Tomppabeats,IDM,Ambient,,Don-Q
Return,Blue Smiley,Shoegaze,Indie Rock,,lego
iridescence,BROCKHAMPTON,Experimental Hip Hop,Pop Rap,,Ciel
The Pancakes,Les Bonbons sont Bons,Indie Pop,Twee Pop,,glootte
Mic City Sons,Heatmiser,Indie Rock,Slacker Rock,,jwebb
BLACK PLEASURE 2012,Cities Aviv,Experimental Hip Hop,Vaporwave,,terriyaki
Sunbather,Deafheaven,Blackgaze. Post-Metal,,,Clock
